  	 %case       price   	       size    	       new              taxes         bedrooms        baths
   2.3000000e+01   2.1375000e+02   1.1700000e+03   0.0000000e+00   1.1340000e+03   2.0000000e+00   1.0000000e+00
   2.4000000e+01   2.4000000e+02   1.5000000e+03   0.0000000e+00   2.9790000e+03   3.0000000e+00   2.0000000e+00
   2.5000000e+01   3.6000000e+02   2.7900000e+03   0.0000000e+00   4.3790000e+03   4.0000000e+00   2.0000000e+00
   2.6000000e+01   1.3050000e+02   1.0300000e+03   0.0000000e+00   2.8560000e+03   3.0000000e+00   1.0000000e+00
   2.7000000e+01   1.7790000e+02   1.2500000e+03   0.0000000e+00   3.4360000e+03   3.0000000e+00   2.0000000e+00
   2.8000000e+01   2.1000000e+02   1.7600000e+03   0.0000000e+00   5.2560000e+03   3.0000000e+00   2.0000000e+00
   2.9000000e+01   2.2200000e+02   1.5500000e+03   0.0000000e+00   3.9540000e+03   2.0000000e+00   3.0000000e+00
   3.0000000e+01   1.0350000e+02   1.1200000e+03   0.0000000e+00   4.3440000e+03   3.0000000e+00   2.0000000e+00
   3.1000000e+01   2.6400000e+02   2.0000000e+03   0.0000000e+00   4.3800000e+03   4.0000000e+00   2.0000000e+00
   3.2000000e+01   1.2975000e+02   1.3500000e+03   0.0000000e+00   5.5410000e+03   3.0000000e+00   1.0000000e+00
   3.3000000e+01   2.7000000e+02   1.8400000e+03   1.0000000e+00   5.3370000e+03   3.0000000e+00   2.0000000e+00
   3.4000000e+01   2.6850000e+02   2.5100000e+03   0.0000000e+00   5.8550000e+03   4.0000000e+00   2.0000000e+00
   3.5000000e+01   5.0700000e+02   3.1100000e+03   1.0000000e+00   5.9380000e+03   3.0000000e+00   3.0000000e+00
   3.6000000e+01   1.9500000e+02   1.7600000e+03   0.0000000e+00   3.9170000e+03   4.0000000e+00   2.0000000e+00
   3.7000000e+01   2.4450000e+02   1.7100000e+03   0.0000000e+00   3.3770000e+03   3.0000000e+00   2.0000000e+00
   3.8000000e+01   1.8750000e+02   1.1100000e+03   0.0000000e+00   4.3200000e+03   2.0000000e+00   1.0000000e+00
   3.9000000e+01   1.5000000e+02   1.3600000e+03   0.0000000e+00   4.7810000e+03   3.0000000e+00   2.0000000e+00
   4.0000000e+01   1.5000000e+02   1.2500000e+03   0.0000000e+00   2.4250000e+03   3.0000000e+00   1.0000000e+00
   4.1000000e+01   1.5000000e+02   1.2500000e+03   0.0000000e+00   3.0730000e+03   3.0000000e+00   1.0000000e+00
   4.2000000e+01   2.1975000e+02   1.4800000e+03   0.0000000e+00   2.4830000e+03   3.0000000e+00   2.0000000e+00
   4.3000000e+01   2.1735000e+02   1.5200000e+03   0.0000000e+00   4.4150000e+03   3.0000000e+00   2.0000000e+00
   4.4000000e+01   2.7450000e+02   2.0200000e+03   0.0000000e+00   4.9830000e+03   3.0000000e+00   2.0000000e+00
   4.5000000e+01   1.0485000e+02   1.0100000e+03   0.0000000e+00   2.6730000e+03   3.0000000e+00   2.0000000e+00
   4.6000000e+01   9.0000000e+01   1.6400000e+03   0.0000000e+00   4.6540000e+03   2.0000000e+00   2.0000000e+00
   4.7000000e+01   1.9050000e+02   9.4000000e+02   0.0000000e+00   4.1840000e+03   2.0000000e+00   2.0000000e+00
   4.8000000e+01   1.2900000e+02   1.5800000e+03   0.0000000e+00   1.0960000e+03   3.0000000e+00   2.0000000e+00
   4.9000000e+01   7.5000000e+01   8.6000000e+02   0.0000000e+00   2.5990000e+03   2.0000000e+00   2.0000000e+00
   5.0000000e+01   2.0550000e+02   1.4200000e+03   0.0000000e+00   3.0780000e+03   3.0000000e+00   2.0000000e+00
   5.1000000e+01   1.8195000e+02   1.2700000e+03   0.0000000e+00   5.5230000e+03   3.0000000e+00   2.0000000e+00
   5.2000000e+01   1.2150000e+02   9.8000000e+02   0.0000000e+00   9.2400000e+02   2.0000000e+00   1.0000000e+00
   5.3000000e+01   2.8200000e+02   2.3000000e+03   0.0000000e+00   3.9540000e+03   4.0000000e+00   2.0000000e+00
   5.4000000e+01   1.2750000e+02   1.4300000e+03   0.0000000e+00   2.4650000e+03   3.0000000e+00   2.0000000e+00
   5.5000000e+01   2.0550000e+02   1.3800000e+03   0.0000000e+00   3.1780000e+03   3.0000000e+00   2.0000000e+00
   5.6000000e+01   2.1750000e+02   1.2400000e+03   0.0000000e+00   4.4640000e+03   3.0000000e+00   2.0000000e+00
   5.7000000e+01   1.0350000e+02   1.1200000e+03   0.0000000e+00   2.1870000e+03   3.0000000e+00   2.0000000e+00
   5.8000000e+01   1.6395000e+02   1.1200000e+03   0.0000000e+00   3.9610000e+03   3.0000000e+00   2.0000000e+00
   5.9000000e+01   1.9725000e+02   1.9000000e+03   0.0000000e+00   3.1580000e+03   3.0000000e+00   2.0000000e+00
   6.0000000e+01   3.0000000e+02   2.4300000e+03   0.0000000e+00   3.5990000e+03   4.0000000e+00   3.0000000e+00
   6.1000000e+01   1.2285000e+02   1.0800000e+03   0.0000000e+00   9.9600000e+02   3.0000000e+00   2.0000000e+00
   6.2000000e+01   1.3680000e+02   1.3500000e+03   0.0000000e+00   3.2950000e+03   2.0000000e+00   1.0000000e+00
   6.3000000e+01   1.8675000e+02   1.7200000e+03   0.0000000e+00   3.8670000e+03   4.0000000e+00   3.0000000e+00
   6.4000000e+01   3.3750000e+02   4.0500000e+03   0.0000000e+00   5.0450000e+03   3.0000000e+00   3.0000000e+00
   6.5000000e+01   2.0475000e+02   1.5000000e+03   0.0000000e+00   2.9400000e+03   3.0000000e+00   2.0000000e+00
   6.6000000e+01   5.7150000e+02   2.5810000e+03   0.0000000e+00   6.6230000e+03   3.0000000e+00   3.0000000e+00
   6.7000000e+01   3.7500000e+02   2.1200000e+03   1.0000000e+00   2.8230000e+03   3.0000000e+00   2.0000000e+00
   6.8000000e+01   5.3235000e+02   2.7450000e+03   1.0000000e+00   6.5850000e+03   3.0000000e+00   3.0000000e+00
   6.9000000e+01   2.1000000e+02   1.5200000e+03   0.0000000e+00   2.4470000e+03   3.0000000e+00   2.0000000e+00
   7.0000000e+01   1.3485000e+02   1.2800000e+03   0.0000000e+00   4.4680000e+03   2.0000000e+00   2.0000000e+00
   7.1000000e+01   2.0550000e+02   1.6200000e+03   0.0000000e+00   2.3590000e+03   3.0000000e+00   2.0000000e+00
   7.2000000e+01   1.5450000e+02   1.5200000e+03   0.0000000e+00   4.6360000e+03   3.0000000e+00   2.0000000e+00
   7.3000000e+01   2.7450000e+02   2.0300000e+03   0.0000000e+00   3.6350000e+03   3.0000000e+00   2.0000000e+00
   7.4000000e+01   2.1000000e+02   1.3900000e+03   0.0000000e+00   3.7810000e+03   3.0000000e+00   2.0000000e+00
   7.5000000e+01   2.4000000e+02   1.8800000e+03   0.0000000e+00   1.8450000e+03   4.0000000e+00   2.0000000e+00
   7.6000000e+01   6.5100000e+02   2.8910000e+03   0.0000000e+00   7.7900000e+03   3.0000000e+00   2.0000000e+00
   7.7000000e+01   1.9500000e+02   1.3400000e+03   0.0000000e+00   5.6150000e+03   2.0000000e+00   1.0000000e+00
   7.8000000e+01   1.8450000e+02   9.4000000e+02   0.0000000e+00   4.4620000e+03   2.0000000e+00   2.0000000e+00
   7.9000000e+01   3.1500000e+01   5.8000000e+02   0.0000000e+00   1.7800000e+03   2.0000000e+00   1.0000000e+00
   8.0000000e+01   1.2750000e+02   1.4100000e+03   0.0000000e+00   4.1230000e+03   4.0000000e+00   2.0000000e+00
   8.1000000e+01   1.0485000e+02   1.1500000e+03   0.0000000e+00   3.3360000e+03   3.0000000e+00   2.0000000e+00
   8.2000000e+01   1.8750000e+02   1.3800000e+03   0.0000000e+00   4.2880000e+03   3.0000000e+00   2.0000000e+00
   8.3000000e+01   2.4390000e+02   1.4700000e+03   1.0000000e+00   4.3600000e+03   3.0000000e+00   2.0000000e+00
   8.4000000e+01   2.3535000e+02   1.5900000e+03   1.0000000e+00   6.7070000e+03   2.0000000e+00   2.0000000e+00
   8.5000000e+01   1.5885000e+02   1.2000000e+03   1.0000000e+00   2.6250000e+03   3.0000000e+00   2.0000000e+00
   8.6000000e+01   2.5125000e+02   1.9200000e+03   0.0000000e+00   4.7460000e+03   3.0000000e+00   2.0000000e+00
   8.7000000e+01   2.2770000e+02   2.1500000e+03   0.0000000e+00   2.7010000e+03   3.0000000e+00   2.0000000e+00
   8.8000000e+01   1.7745000e+02   2.2000000e+03   0.0000000e+00   4.2550000e+03   5.0000000e+00   3.0000000e+00
   8.9000000e+01   1.4145000e+02   8.6000000e+02   0.0000000e+00   3.3690000e+03   2.0000000e+00   2.0000000e+00
   9.0000000e+01   1.4085000e+02   1.2300000e+03   0.0000000e+00   2.4150000e+03   3.0000000e+00   1.0000000e+00
   9.1000000e+01   2.4750000e+02   1.1400000e+03   0.0000000e+00   3.9290000e+03   4.0000000e+00   2.0000000e+00
   9.2000000e+01   4.2750000e+02   2.6500000e+03   1.0000000e+00   7.0720000e+03   4.0000000e+00   3.0000000e+00
   9.3000000e+01   6.7500000e+01   1.0600000e+03   0.0000000e+00   3.7940000e+03   3.0000000e+00   1.0000000e+00
   9.4000000e+01   1.8735000e+02   1.7700000e+03   0.0000000e+00   3.5660000e+03   3.0000000e+00   2.0000000e+00
   9.5000000e+01   2.2050000e+02   1.8600000e+03   0.0000000e+00   5.5620000e+03   4.0000000e+00   2.0000000e+00
   9.6000000e+01   2.6400000e+02   1.0600000e+03   0.0000000e+00   2.7130000e+03   2.0000000e+00   2.0000000e+00
   9.7000000e+01   2.9475000e+02   1.7300000e+03   0.0000000e+00   6.4140000e+03   3.0000000e+00   2.0000000e+00
   9.8000000e+01   1.9830000e+02   1.3700000e+03   0.0000000e+00   4.9290000e+03   3.0000000e+00   2.0000000e+00
   9.9000000e+01   1.3260000e+02   1.5600000e+03   0.0000000e+00   2.8700000e+03   3.0000000e+00   2.0000000e+00
   1.0000000e+02   1.9080000e+02   1.3400000e+03   0.0000000e+00   3.9230000e+03   3.0000000e+00   2.0000000e+00
